t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Tr,Transpiration,Ts,Wmax,age,amino_acids,area_prim,cytokinins,cytokinins_import,fructan,green_area,gs,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,proteins,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,triosesP,width
3,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71137062,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001016,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
3,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71137062,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005082,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
4,1,MS,1,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000458,2.08290335,0.00000000,1.12884133,0.06676865,0.15491913,0.06540987,0.00000000,0.00000000,0.00002050,116.16003729,NA,0.00000000,0.00000000,0.00000382,0.06640136,0.00000000,0.00001303,0.00000000,0.00419785,1.72581702,0.00000000,0.00000000,19.10728209,0.00000000,0.00000000,6.22300000,0.00300000,241.18014724,0.70620320,NA,0.32841044,0.00000000,0.00000458,0.00019533,0.00000000,NA,False,False,0.08200000,0.00410677,4400.00000000,0.00410677,1.00000000,0.00000000,16.93679318,0,0.00000000,0.00000000,10.69388058,0.06640518,0.00000000,0.00232481
4,1,MS,1,sheath,StemElement,0.24882240,0.00242129,0.30464167,0.00000003,2.29295824,16.19009519,0.42758622,0.02412829,0.33693778,0.02386541,0.00302751,0.00000000,0.00000855,7.16062063,NA,0.24060684,0.00299723,0.00000346,0.00873849,0.01436141,0.00000009,1.77047129,0.00003131,1.61448333,8.60955761,126.21822977,2.89200609,0.02807971,0.00000754,3.64212449,NA,241.18014724,0.26339571,NA,0.05179689,0.00039293,0.00000003,0.00026861,0.08513024,0.01424321,False,False,0.02850000,0.00171000,1183.15614503,0.00171000,1.00000000,0.00002360,2.01789610,0,0.00000000,0.07354627,4.88669864,0.01173917,0.00003916,0.00300000
4,1,MS,2,blade,LeafElement1,0.00000000,0.00000000,0.00000000,0.00000330,1.74182946,0.00000000,1.34132915,0.09153873,0.22600027,0.07630889,0.00000000,0.00000000,0.00002420,NA,NA,0.00000000,0.00000000,0.00000656,0.09164850,0.00000000,0.00000686,0.00000000,0.00222724,1.78582368,0.00000000,0.00000000,26.25754667,0.00000000,0.00000000,6.22300000,0.00330000,161.18014724,0.88190153,NA,0.45967731,0.00000000,0.00000330,0.00024107,0.00000000,NA,False,False,0.09200000,0.00483764,4888.02219262,0.00483764,1.00000000,0.00000000,23.64707370,0,0.00000000,0.00000000,12.73808847,0.09165506,0.00000000,0.00255729
4,1,MS,2,sheath,HiddenElement,0.00000000,0.00000000,0.00000000,2.51786719,2.89754853,0.00000000,0.46481704,0.01028289,0.01191040,0.03026638,0.00000000,0.00000000,0.00001140,NA,NA,0.00000000,0.00000000,0.00000016,0.01682898,0.00000000,0.00369878,0.00000000,1.16531396,1.42747275,0.00000000,0.00000000,4.91738830,0.00000000,0.00000000,6.22300000,NA,161.18014724,0.28982972,NA,0.07507594,0.00000000,6.68523956,0.00024800,0.00000000,NA,False,False,0.02850000,0.00228000,1678.21735658,0.00228000,1.00000000,0.00000000,3.81327287,0,0.00000000,0.00000000,5.73719882,0.01682914,0.00000000,0.00300000
4,1,MS,2,sheath,StemElement,0.24161070,0.00003788,0.28517799,0.00001888,2.68494370,16.01754178,0.52084156,0.00022414,0.00005456,0.03009491,0.00004737,0.00000000,0.00000020,6.41674120,NA,0.00409883,0.00004689,0.00000000,0.00024454,0.02457931,0.01422637,1.18420939,4.46913633,1.32869604,6.23970956,92.29943843,0.08576680,0.02504212,0.00000012,3.61139870,NA,161.18014724,0.00457202,NA,0.00147587,0.00000615,0.00001888,0.00000471,0.07565874,0.02873631,False,False,0.00050000,0.00004000,1678.21735000,0.00004000,1.00000000,0.00000049,0.06690907,0,0.00000000,0.00170204,0.10021644,0.00029143,0.00000066,0.00300000
4,1,MS,3,blade,LeafElement1,0.96819837,0.00194945,0.82426296,0.00000378,1.44671396,59.92548299,1.54045470,-0.00132040,0.26857233,NA,0.00243753,0.00000000,0.00002090,15.08052076,NA,0.64678114,0.00241316,0.00000672,0.07001065,0.14393542,0.00000262,0.58442660,0.00082311,1.26966112,9.82017584,143.31279660,24.37586139,0.03272529,0.00000607,3.75965096,0.00400000,81.18014724,0.44647467,NA,0.45514862,0.00031636,0.00000378,0.00018556,0.07715704,0.05193718,True,False,0.06439651,0.00417081,0.00000000,0.00417081,1.00000000,0.00001684,22.43652958,0,0.00000000,0.66396793,10.44698982,0.07243053,0.00010895,0.00288336
4,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94808354,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00001021,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
4,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94808354,0.00000000,NA,0.00000000,NA,0.00000000,0.00000000,NA,NA,True,False,0.00005103,0.00000000,0.00000000,0.00000000,NA,0.00000000,0.00000000,0,0.00000000,0.00000000,0.00000000,NA,NA,NA
