t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
22,1,MS,roots,0.01641758,3.59182283,0.00992997,0.01174850,0.00146077,1.01222785,0.10915488,0.00017773,NA,0.07160350,0.05756162,NA,NA,NA,0.04838163,0.56695366,1.01849494,NA,0.85627430,NA,NA,15.06374591,0.64743926,17.95911417,0.14499148,NA,2.36871369,9.23860977,0.00004597,0.03550669,24.83667240,NA,0.00000000,0.00002638,0.00000000,NA,NA,77.94429464,1.64635462,0.17754675
23,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.84092132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.89018362,NA,NA
23,1,MS,roots,0.01677279,4.18484902,0.01000813,0.01174296,0.00145894,1.03106401,0.13222269,0.00017797,NA,0.07283571,0.05744126,NA,NA,NA,0.04873389,0.57922019,1.03465347,NA,0.86307830,NA,NA,15.11234704,0.74540060,20.92424508,0.14468831,NA,2.40054203,9.26781148,0.00004696,0.03555365,24.93287537,NA,0.00000000,0.00002627,0.00000000,NA,NA,75.97717072,1.68197493,0.17901086
24,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75349296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.59341879,NA,NA
24,1,MS,roots,0.01700505,4.59668545,0.00817712,0.00950404,0.00117994,1.04694038,0.15125728,0.00017820,NA,0.07384670,0.05711803,NA,NA,NA,0.04895686,0.58724118,1.04761198,NA,0.86633017,NA,NA,15.16500563,0.81171547,22.98342726,0.14387413,NA,2.43619557,9.29744210,0.00004761,0.03560127,25.02995650,NA,0.00000000,0.00002118,0.00000000,NA,NA,74.03560782,1.70526677,0.17992160
25,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66781541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.80512260,NA,NA
25,1,MS,roots,0.01709395,5.13863098,0.01109878,0.01275965,0.00158303,1.05912904,0.17599335,0.00017844,NA,0.07457580,0.05658810,NA,NA,NA,0.04903245,0.59031092,1.05653471,NA,0.86550420,NA,NA,15.21727523,0.89631026,25.69315490,0.14253929,NA,2.47137122,9.32667208,0.00004786,0.03564913,25.12201715,NA,0.00000000,0.00002832,0.00000000,NA,NA,72.15877646,1.71418086,0.18019635
26,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58382635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.20766420,NA,NA
26,1,MS,roots,0.01719223,5.73767206,0.01547499,0.01760095,0.00218250,1.07271060,0.20427411,0.00017868,NA,0.07537818,0.05613606,NA,NA,NA,0.04914242,0.59370502,1.06646221,NA,0.86480215,NA,NA,15.26783932,0.98719892,28.68836028,0.14140067,NA,2.50474308,9.35530731,0.00004814,0.03569727,25.20762106,NA,0.00000000,0.00003892,0.00000000,NA,NA,70.35347761,1.72403684,0.18065667
27,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49491336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.06725255,NA,NA
27,1,MS,roots,0.01739762,6.10749533,0.00964144,0.01085663,0.00134576,1.09093092,0.22671433,0.00017893,NA,0.07650599,0.05589504,NA,NA,NA,0.04940456,0.60079771,1.08094356,NA,0.86680948,NA,NA,15.32591336,1.03934404,30.53747663,0.14079356,NA,2.54541950,9.38488258,0.00004871,0.03574598,25.29876480,NA,0.00000000,0.00002393,0.00000000,NA,NA,68.57148381,1.74463304,0.18180559
28,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39889220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.08975964,NA,NA
